ID,H,G,Epoch,MeanAnomaly,ArgPerihelion,LongAscNode,Inclination,Eccentricity,MeanMotion,SemiMajorAxis,Uncertainty,Reference,NObs,NOppositions,ObsStart,ObsEnd,RMS,CoarsePerturbers,PrecisePerturbers,Computer,ReadableDesignation,LastObsDate
c2001,16.02,0.15,K2555,322.54523,13.79346,89.5618,20.39798,0.1297289,0.17228463,3.1986867,0,E2024-VB0,199.0,13,2004,024,0.86,M-v,3Ek,MPCLINUX,(382001) 2010 OM15,20241108
c2101,16.81,0.15,K2555,88.30193,185.32987,55.80441,15.36586,0.1971085,0.23275784,2.6173784,0,E2024-CI1,171.0,13,2000,024,0.78,M-v,3Ek,MPCLINUX,(382101) 2011 GY66,20240214
c2201,16.53,0.15,K2555,48.86576,279.438,50.78976,15.17734,0.1399739,0.24589254,2.5233209,0,MPO843904,182.0,12,2004,024,0.94,M-v,3Ek,MPCLINUX,(382201) 2012 OY5,20240713
c2301,15.37,0.15,K2555,83.40846,88.60127,326.17732,20.93786,0.116897,0.17751951,3.1354893,0,MPO916852,426.0,14,2000,025,0.89,M-v,3Ek,MPCLINUX,(382301) 2012 VH97,20250424
c2401,18.05,0.15,K2555,42.37468,0.59602,45.59564,2.07507,0.1815288,0.2632208,2.4113259,0,MPO890947,262.0,13,1994,025,0.85,M-v,3Ek,MPCLINUX,(382401) 1994 UK3,20250103
c2501,17.0,0.15,K2555,51.29017,2.1497,23.25512,7.82549,0.23816,0.25892077,2.43795,0,MPO904473,533.0,13,2001,025,0.83,M-v,3Ek,MPCLINUX,(382501) 2001 QW280,20250226
c2601,17.8,0.15,K2555,159.73682,7.66174,204.45725,3.04144,0.090886,0.23575782,2.5951271,0,MPO745323,144.0,12,1994,023,0.76,M-v,3Ek,MPCLINUX,(382601) 2002 EK124,20230514
c2701,18.59,0.15,K2555,80.4856,55.98078,34.26042,1.70077,0.1467297,0.27672083,2.3322484,0,MPO916855,118.0,9,2002,025,1.06,M-v,3Ek,MPCLINUX,(382701) 2002 VR135,20250331
c2801,18.11,0.15,K2555,228.98985,99.97231,302.03157,5.59229,0.1524471,0.30555999,2.1830904,0,E2024-G04,194.0,11,2003,024,0.63,M-v,3Ek,MPCLINUX,(382801) 2003 UY74,20240401
c2901,17.54,0.15,K2555,300.44573,181.22996,167.16612,2.03771,0.2273367,0.23073609,2.6326454,0,E2024-EJ0,210.0,9,2004,023,0.7,M-v,3Ek,MPCLINUX,(382901) 2004 RY68,20230129
