id,geo_point_2d,intensidad,alcaldia,area_m2,perime_m,intens_num,int2
206.0,"19.2990461165,-99.1329720872",Muy Alto,Tlalpan,254362.272467,2125.72125509,100,5
219.0,"19.2490598024,-99.1634008697",Muy Bajo,Tlalpan,502191.819873,3813.51705061,0 a 25,1
235.0,"19.3610554447,-99.2491332123",Muy Bajo,Álvaro Obregón,228192.930272,3532.55719424,0 a 25,1
248.0,"19.3025862964,-99.0470818801",Muy Alto,Tláhuac,311177.730683,3053.04193875,100,5
254.0,"19.3069701351,-99.0554872813",Alto,Tláhuac,360981.25543,2723.3665586,73 a 99,4
291.0,"19.3846282449,-99.2242153571",Muy Bajo,Álvaro Obregón,129319.922846,3016.60179903,0 a 25,1
319.0,"19.3569114404,-99.2558359239",Muy Bajo,Álvaro Obregón,144302.909556,1895.6266567,0 a 25,1
349.0,"19.3700955438,-99.2104507881",Muy Bajo,Álvaro Obregón,101160.5555,1915.70217773,0 a 25,1
358.0,"19.3086381339,-98.9710234645",Alto,Tláhuac,727304.306172,5209.40077115,73 a 99,4
362.0,"19.3591762607,-99.1038076435",Muy Alto,Iztapalapa,326328.856434,2910.43266327,100,5
380.0,"19.3888238491,-99.197931602",Muy Bajo,Álvaro Obregón,238593.916537,2290.21677401,0 a 25,1
381.0,"19.2274511999,-99.0066209381",Muy Bajo,Tláhuac,10605.4334933,442.203917665,0 a 25,1
415.0,"19.3570638922,-99.2116846028",Muy Bajo,Álvaro Obregón,127250.670344,1536.63275725,0 a 25,1
418.0,"19.342510899,-99.1972138049",Bajo,Álvaro Obregón,454167.912579,4024.45262286,26 a 49,2
435.0,"19.2835765675,-99.0381472416",Muy Alto,Tláhuac,352161.594912,2721.99800597,100,5
449.0,"19.2801146798,-99.2372223483",Muy Bajo,Tlalpan,267443.711169,2242.43505706,0 a 25,1
453.0,"19.299173463,-99.0587239766",Muy Alto,Tláhuac,375396.561298,3368.57498921,100,5
461.0,"19.3653519833,-99.1927311517",Muy Bajo,Álvaro Obregón,124864.341407,1985.8171221,0 a 25,1
492.0,"19.3314561931,-99.2400555216",Muy Bajo,Álvaro Obregón,1712700.84392,6507.0534306,0 a 25,1
1022.0,"19.2788466959,-99.1432524553",Medio,Tlalpan,220142.27131,3769.32315327,50 a 72,3
1033.0,"19.1985976368,-99.1418681178",Muy Bajo,Tlalpan,516343.839228,3931.35688164,0 a 25,1
1045.0,"19.2837588315,-99.1778089096",Muy Bajo,Tlalpan,351636.058932,2987.83999338,0 a 25,1
1081.0,"19.2404810186,-98.9948814907",Medio,Tláhuac,367762.250344,3143.85924659,50 a 72,3
1093.0,"19.4178591547,-99.0580103927",Alto,Iztacalco,285026.144896,2557.23847606,73 a 99,4
1096.0,"19.2424807721,-99.0264731095",Muy Bajo,Xochimilco,505715.375782,4825.49662948,0 a 25,1
1123.0,"19.283854993,-99.2063904891",Muy Bajo,Tlalpan,349678.917571,2865.98953184,0 a 25,1
1132.0,"19.3647021646,-99.1304494932",Muy Alto,Iztapalapa,217009.392207,1999.94351341,100,5
1145.0,"19.5011572675,-99.0984317478",Medio,Gustavo A. Madero,151439.291997,1927.06943058,50 a 72,3
